"","X","grad","ex.tuition","ex.other","ex.rent","in.scholarship","in.tuition","in.home","debt","work","work.school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4","totalrev","totalexp","totalwhr"
"669",669,TRUE,50000,4500,8000,10000,TRUE,5000,FALSE,FALSE,"0",0,"south","private",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,0
"670",670,TRUE,0,0,2500,0,FALSE,0,FALSE,TRUE,"TRUE",2,"north","public",9000,25,9000,25,0,0,0,0,0,0,0,0,0,0,0,0,18000,2500,50
"671",671,TRUE,39821,4700,8000,0,TRUE,6000,FALSE,TRUE,"TRUE",1,"central","public",3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,20664.2,15
"672",672,TRUE,27000,9000,10000,0,TRUE,20000,FALSE,TRUE,"TRUE",1,"north","public",5000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,24400,35
"673",673,TRUE,30864,7400,10000,6000,FALSE,8000,TRUE,TRUE,"TRUE",1,"0","public",5000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,23572.8,65
"674",674,TRUE,23000,4000,8000,2600,FALSE,0,TRUE,TRUE,"TRUE",1,"north","public",3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,16600,15
"675",675,TRUE,57000,0,6000,10000,FALSE,0,TRUE,TRUE,"TRUE",2,"north","private",5000,15,1000,5,0,0,0,0,0,0,0,0,0,0,0,0,6000,17400,20
"676",676,TRUE,0,4000,10000,3000,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",9000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,14000,45
"677",677,TRUE,15024,0,25000,30000,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",30000,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,28004.8,160
"678",678,TRUE,55000,4500,5000,3000,FALSE,5000,TRUE,TRUE,"TRUE",1,"north","private",3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,20500,15
"679",679,TRUE,23000,4500,9000,10000,TRUE,8000,FALSE,TRUE,"TRUE",1,"south","public",9000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,18100,25
"680",680,TRUE,20000,6500,10000,22500,TRUE,2000,FALSE,TRUE,"TRUE",2,"north","public",7000,5,7000,15,0,0,0,0,0,0,0,0,0,0,0,0,14000,20500,20
"681",681,FALSE,49500,8500,8000,0,TRUE,6000,FALSE,TRUE,"TRUE",1,"north","private",3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,26400,15
"682",682,TRUE,12540,0,8000,6000,TRUE,0,FALSE,TRUE,"TRUE",1,"north","public",7000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,10508,15
"683",683,TRUE,20000,0,2000,0,FALSE,0,TRUE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,4000,8,0,0,0,0,0,0,4000,6000,8
"684",684,TRUE,9980,1700,15000,4000,TRUE,6000,FALSE,TRUE,"TRUE",2,"south","public",3000,15,1000,5,0,0,0,0,0,0,0,0,0,0,0,0,4000,18696,20
"685",685,TRUE,17000,3000,12000,0,TRUE,8000,FALSE,TRUE,"TRUE",1,"0","public",5000,15,5000,15,0,0,0,0,0,0,0,0,0,0,0,0,10000,18400,30
"686",686,TRUE,22000,6800,10000,0,FALSE,0,TRUE,TRUE,"TRUE",2,"north","public",5000,25,3000,15,0,0,0,0,0,0,0,0,0,0,0,0,8000,21200,40
"687",687,FALSE,29490,2605,8000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"south","public",11000,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,16503,85
"688",688,TRUE,48000,0,17000,2000,FALSE,10000,TRUE,TRUE,"TRUE",1,"south","private",18000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,26600,75
"689",689,TRUE,30000,5000,8000,0,TRUE,10000,FALSE,TRUE,"TRUE",2,"south","public",5000,45,3000,25,0,0,0,0,0,0,0,0,0,0,0,0,8000,19000,70
"690",690,TRUE,48000,3900,9000,4000,TRUE,9000,FALSE,TRUE,"TRUE",3,"central","private",3000,5,3000,5,0,0,0,0,0,0,0,0,0,0,0,0,6000,22500,10
"691",691,TRUE,27998,10500,9000,0,TRUE,10000,FALSE,TRUE,"TRUE",2,"north","public",5000,45,5000,5,0,0,0,0,0,0,0,0,0,0,0,0,10000,25099.6,50
"692",692,TRUE,26000,2500,8000,0,FALSE,0,TRUE,TRUE,"TRUE",3,"north","public",7000,35,3000,15,3000,5,0,0,0,0,0,0,0,0,0,0,13000,15700,55
"693",693,FALSE,38000,0,8000,0,TRUE,6000,FALSE,TRUE,"TRUE",2,"north","public",5000,45,0,0,0,0,0,0,8500,64,0,0,0,0,0,0,13500,15600,109
"694",694,TRUE,13000,3300,8500,1000,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",3000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,14400,15
"695",695,FALSE,9000,3700,11000,0,FALSE,0,FALSE,TRUE,"TRUE",2,"north","public",5000,15,3000,15,0,0,0,0,16000,28,0,0,0,0,0,0,24000,16500,58
"696",696,TRUE,15024,0,8000,0,FALSE,10000,FALSE,TRUE,"TRUE",2,"north","public",11000,35,5000,5,0,0,0,0,0,0,0,0,0,0,0,0,16000,11004.8,40
"697",697,FALSE,24000,9000,6000,0,FALSE,0,TRUE,TRUE,"TRUE",1,"north","public",9000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,19800,65
"698",698,TRUE,33600,7500,20000,0,FALSE,0,TRUE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,8000,32,0,0,0,0,0,0,8000,34220,32
"699",699,TRUE,20000,5000,5000,0,TRUE,5000,FALSE,TRUE,"TRUE",3,"south","public",5000,35,5000,15,5000,15,0,0,0,0,0,0,0,0,0,0,15000,14000,65
"700",700,TRUE,14000,0,10000,20000,FALSE,0,FALSE,TRUE,"TRUE",3,"north","public",5000,25,5000,25,9000,5,0,0,0,0,0,0,0,0,0,0,19000,12800,55
"701",701,TRUE,11323,0,9000,0,FALSE,0,TRUE,TRUE,"TRUE",3,"north","public",7000,5,3000,25,9000,35,0,0,0,0,0,0,0,0,0,0,19000,11264.6,65
"702",702,FALSE,25000,4500,8000,0,TRUE,8000,FALSE,TRUE,"TRUE",1,"south","public",5000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,17500,35
"703",703,TRUE,49105,7000,6500,0,TRUE,10000,FALSE,TRUE,"TRUE",3,"north","private",3000,5,1000,5,1000,5,0,0,0,0,0,0,0,0,0,0,5000,23321,15
"704",704,TRUE,54000,0,3000,0,TRUE,8000,FALSE,TRUE,"TRUE",2,"north","private",15000,96,5000,25,0,0,0,0,0,0,0,0,0,0,0,0,20000,13800,121
"705",705,TRUE,48000,6300,10000,7000,TRUE,10000,FALSE,TRUE,"TRUE",1,"central","private",7000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,25900,100
"706",706,TRUE,30000,7000,10000,0,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,23000,45
"707",707,TRUE,55423,3200,8000,0,TRUE,5000,FALSE,TRUE,"TRUE",2,"central","private",3000,15,3000,25,0,0,0,0,0,0,0,0,0,0,0,0,6000,22284.6,40
"708",708,TRUE,30000,4900,8000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"north","public",5000,35,0,0,0,0,0,0,3000,15,0,0,0,0,0,0,8000,18900,50
"709",709,TRUE,27000,0,8000,0,FALSE,0,TRUE,TRUE,"TRUE",2,"north","public",7000,5,5000,35,0,0,0,0,0,0,0,0,0,0,0,0,12000,13400,40
"710",710,TRUE,20000,0,10000,25000,TRUE,0,FALSE,TRUE,"TRUE",1,"north","public",15000,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,14000,55
"711",711,TRUE,60000,50000,20000,0,FALSE,0,TRUE,TRUE,"FALSE",0,"north","public",0,0,0,0,0,0,0,0,2000,40,0,0,0,0,0,0,2000,82000,40
"712",712,TRUE,190,0,20000,0,TRUE,25000,FALSE,TRUE,"TRUE",1,"north","private",1000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20038,5
"713",713,TRUE,20000,5000,10000,10000,TRUE,5000,FALSE,TRUE,"TRUE",1,"south","public",1000,5,1000,5,0,0,0,0,0,0,0,0,0,0,0,0,2000,19000,10
"714",714,FALSE,4200,6500,10000,0,TRUE,10000,FALSE,FALSE,"0",0,"central","private",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17340,0
"715",715,TRUE,48000,3000,7000,0,TRUE,6000,FALSE,TRUE,"TRUE",1,"central","private",9000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,19600,15
"716",716,TRUE,20000,8000,15000,5000,TRUE,20000,FALSE,FALSE,"0",0,"north","public",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0
"717",717,TRUE,62000,5500,7000,0,TRUE,7000,FALSE,TRUE,"TRUE",1,"north","public",1000,25,0,0,0,0,0,0,5000,25,0,0,0,0,0,0,6000,24900,50
"718",718,FALSE,13500,1100,6000,3840,FALSE,0,FALSE,TRUE,"TRUE",1,"north","public",3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,9800,25
"719",719,FALSE,50000,0,10000,0,FALSE,10000,TRUE,TRUE,"TRUE",1,"north","private",5000,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,20000,35
"720",720,TRUE,15000,2500,10000,1000,FALSE,0,FALSE,TRUE,"TRUE",1,"east","public",1000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,15500,15
"721",721,TRUE,47000,3000,5000,600,TRUE,3000,FALSE,TRUE,"TRUE",2,"central","private",1000,15,7000,25,0,0,0,0,0,0,0,0,0,0,0,0,8000,17400,40
"722",722,FALSE,25333,2017,7000,500,TRUE,10000,FALSE,FALSE,"0",0,"north","public",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14083.6,0
"723",723,TRUE,59000,0,8000,0,TRUE,8000,FALSE,FALSE,"0",0,"central","private",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19800,0
"724",724,TRUE,9000,0,15000,5000,TRUE,8000,FALSE,TRUE,"TRUE",1,"north","public",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,16800,15
"725",725,TRUE,59600,4000,10000,0,TRUE,15000,FALSE,FALSE,"0",0,"central","private",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25920,0
"726",726,TRUE,21000,4200,8000,5000,TRUE,6000,FALSE,TRUE,"TRUE",1,"south","public",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,16400,15
"727",727,TRUE,8000,5500,8000,2000,FALSE,7000,TRUE,TRUE,"FALSE",0,"central","public",0,0,0,0,0,0,0,0,9000,65,0,0,0,0,0,0,9000,15100,65
"728",728,TRUE,12000,5500,10000,0,TRUE,9000,FALSE,TRUE,"TRUE",1,"south","public",5000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,17900,45
"729",729,TRUE,11000,3500,6000,13000,TRUE,0,FALSE,TRUE,"TRUE",2,"north","public",11000,200,3000,5,0,0,0,0,0,0,0,0,0,0,0,0,14000,11700,205
"730",730,TRUE,12090,4500,15000,0,TRUE,10000,FALSE,TRUE,"TRUE",3,"south","public",1000,35,5000,35,5000,0,5000,35,0,0,0,0,0,0,0,0,16000,21918,105
"731",731,TRUE,13244,3000,7000,0,FALSE,0,FALSE,TRUE,"TRUE",2,"0","public",7000,35,5000,35,0,0,0,0,10000,20,0,0,0,0,0,0,22000,12648.8,90
"732",732,TRUE,26000,4000,10000,3000,TRUE,8000,FALSE,TRUE,"TRUE",2,"central","public",3000,15,3000,15,0,0,0,0,0,0,0,0,0,0,0,0,6000,19200,30
"733",733,TRUE,30785,2700,10000,15000,TRUE,0,FALSE,TRUE,"TRUE",4,"north","public",5000,55,7000,25,3000,5,3000,25,0,0,0,0,0,0,0,0,18000,18857,110
"734",734,TRUE,48000,5000,10000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"central","private",5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,24600,15
"735",735,TRUE,12000,7500,4500,0,TRUE,15000,FALSE,TRUE,"TRUE",1,"north","public",5000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,14400,75
"736",736,TRUE,20000,1200,7000,2000,TRUE,7000,FALSE,TRUE,"TRUE",1,"south","public",1000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,12200,15
"737",737,TRUE,55680,9000,10000,0,TRUE,10000,FALSE,TRUE,"TRUE",1,"central","private",1000,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,30136,75
