"","grad","ex-tuition","ex-other","ex-rent","in-scholarship","in-tuition","in-home","debt","work","work-school","worknum","region","school","rev1","workhour1","rev2","workhour2","rev3","workhour3","rev4","workhour4","ofcrev","ofcwhr","ofcrev2","ofcwhr2","ofcrev3","ofcwhr3","ofcrev4","ofcwhr4"
"499",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505",FALSE,45000,4300,8000,0,TRUE,10000,FALSE,TRUE,TRUE,2,"south","private",3000,45,3000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506",TRUE,24000,2500,9000,0,FALSE,0,FALSE,TRUE,FALSE,NA,"north","public",NA,NA,NA,NA,NA,NA,NA,NA,6200,40,5000,36,NA,NA,NA,NA
"507",FALSE,1,1,1,1,TRUE,1,TRUE,TRUE,TRUE,1,"north","public",1000,5,3000,35,13000,35,NA,NA,1,1,1,1,1,1,NA,NA
"508",TRUE,15000,7500,12000,0,TRUE,0,FALSE,TRUE,TRUE,3,"north","public",7000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
