grad,ex.tuition,ex.other,ex.rent,in.scholarship,in.tuition,in.home,debt,work,work.school,worknum,region,school,rev1,workhour1,rev2,workhour2,rev3,workhour3,rev4,workhour4,ofcrev,ofcwhr,ofcrev2,ofcwhr2,ofcrev3,ofcwhr3,ofcrev4,ofcwhr4,labor1,contract1,paywage1,satisfication1,labor2,contract2,paywage2,satisfication2,labor3,contract3,paywage3,satisfication3,labor4,contract4,paywage4,satisfication4,ofccontract1,ofcins1,ofcwage1,ofcsat1,ofccontract2,ofcins2,ofcwage2,ofcsat2,ofccontract3,ofcins3,ofcwage3,ofcsat3,ofccontract4,ofcins4,ofcwage4,ofcsat4,totalrev,totalexp,totalwhr,ofcnum1,ofcnum2,ofcnum3,ofcnum4,ofcworknum,totalworknum,totalcontract,totalins,totallabor,totallatepay,expense,total.ofc.latepay
TRUE,10000,2500,10000,0,TRUE,10000,FALSE,TRUE,FALSE,0,north,public,0,0,0,0,0,0,0,0,8000,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8000,14500,60,1,0,0,0,1,1,0,0,0,0,12500,1
FALSE,38000,3000,6000,0,TRUE,2000,TRUE,TRUE,FALSE,0,south,public,0,0,0,0,0,0,0,0,5000,40,1800,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,1,3,0,0,0,0,0,0,0,0,6800,16600,52.5,1,1,0,0,2,2,0,1,0,0,9000,2
FALSE,25000,4000,8000,0,TRUE,3000,TRUE,TRUE,FALSE,1,north,public,0,0,0,0,0,0,0,0,8000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8000,17000,20,1,0,0,0,1,2,0,0,0,0,12000,0
FALSE,49000,0,8000,5500,TRUE,8000,FALSE,TRUE,TRUE,2,central,private,5000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,17800,15,0,0,0,0,0,2,1,0,1,0,8000,0
FALSE,50000,4000,9000,0,FALSE,9000,TRUE,TRUE,FALSE,0,central,private,0,0,0,0,0,0,0,0,7000,60,6000,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,13000,23000,108,1,1,0,0,2,2,0,0,0,0,13000,2
FALSE,48692,4000,7000,0,TRUE,8000,FALSE,TRUE,TRUE,1,central,private,3000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,20738.4,25,0,0,0,0,0,1,999,0,1,1,11000,0
FALSE,28000,2200,12000,0,TRUE,0,FALSE,TRUE,FALSE,0,north,public,0,0,0,0,0,0,0,0,6000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6000,19800,12,1,0,0,0,1,1,0,0,0,0,14200,1
FALSE,35000,0,7000,0,FALSE,0,TRUE,TRUE,FALSE,0,central,private,0,0,0,0,0,0,0,0,8000,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8000,14000,56,1,0,0,0,1,1,0,1,0,0,7000,1
FALSE,26045,1500,6000,0,TRUE,6000,FALSE,TRUE,TRUE,2,east,public,5000,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12709,25,0,0,0,0,0,2,1,0,1,0,7500,0
TRUE,26000,7500,10000,15000,TRUE,10000,FALSE,TRUE,TRUE,1,north,public,7000,55,7000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,22700,120,0,0,0,0,0,1,0,0,0,2,17500,0
FALSE,25000,2500,7000,0,TRUE,10000,FALSE,TRUE,TRUE,2,east,public,3000,15,3000,5,0,0,0,0,3000,27,0,0,0,0,0,0,1,1,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9000,14500,47,1,0,0,0,1,3,2,0,1,0,9500,1
